case_id,len,height,thk,force
0001,7.142677,0.716062,0.113413,1961.790246
0002,12.985910,0.972650,0.123244,1930.427069
0003,9.193192,0.644819,0.068082,1123.255179
0004,9.434274,0.704837,0.073617,998.036787
0005,7.628130,1.229264,0.119370,1966.516202
0006,8.581922,1.291558,0.112136,1895.041427
0007,13.341218,0.773516,0.139068,1543.020338
0008,13.262809,0.991102,0.108652,980.456938
0009,13.870696,1.024331,0.080093,880.747803
0010,11.790467,0.871514,0.127845,1264.452241
0011,11.840511,0.836293,0.065338,1748.660860
0012,10.949574,0.671274,0.137086,698.082086
0013,8.155751,0.751451,0.089866,1038.268376
0014,6.282388,1.367843,0.090554,1868.944837
0015,13.062951,0.907619,0.135461,1726.461187
0016,6.313290,0.683035,0.133835,732.332608
0017,9.090235,1.045395,0.110807,1417.376010
0018,11.204976,1.143244,0.094996,1220.653464
0019,12.339329,0.792954,0.088693,896.830549
0020,13.190683,1.104364,0.070478,1457.802903
0021,10.425433,1.129864,0.106245,1187.912589
0022,8.273646,0.609381,0.075638,1710.179007
0023,10.358620,1.266299,0.083069,1825.624129
0024,6.676727,1.059708,0.085023,542.254443
0025,11.346377,1.397804,0.077263,1841.745778
0026,7.252659,1.338232,0.107370,1662.262589
0027,8.925708,0.653802,0.118107,846.599595
0028,13.755947,0.823764,0.125888,1318.049733
0029,12.217516,0.951234,0.120608,1764.940690
0030,9.864070,1.346375,0.104554,1206.357052
0031,12.799018,1.382035,0.117712,1854.109857
0032,8.379160,0.985895,0.126295,1696.969970
0033,8.863290,0.816500,0.060013,1424.648558
0034,12.103225,1.212202,0.061419,1676.094223
0035,6.059232,1.176618,0.099191,721.561846
0036,9.224869,0.769582,0.076630,771.358772
0037,9.797344,0.615300,0.098485,1615.878394
0038,9.684766,0.661285,0.111243,1917.962845
0039,13.451175,1.240198,0.095235,1501.683196
0040,6.875644,0.938460,0.072164,1452.338641
0041,12.643217,1.192208,0.074612,1076.365003
0042,9.319561,1.167391,0.097215,1146.371726
0043,11.422321,1.065931,0.121321,940.741735
0044,8.706982,1.272039,0.084887,1165.825897
0045,10.568404,1.200964,0.132146,1364.440277
0046,6.419868,0.881570,0.109485,806.308997
0047,11.544696,0.808389,0.091807,1238.896245
0048,7.322269,1.151305,0.078152,563.736813
0049,13.993391,1.327103,0.093125,1353.039360
0050,7.704885,0.639681,0.134280,1778.141802
0051,8.475416,1.319620,0.087058,966.866416
0052,10.672045,0.737336,0.138023,1291.742710
0053,11.159254,0.891295,0.092657,1594.740630
0054,11.664491,1.035690,0.063879,831.056146
0055,10.802735,1.094618,0.105884,1993.933227
0056,9.945907,0.784455,0.069854,594.174626
0057,12.837346,1.118708,0.064402,516.597079
0058,12.090977,0.862526,0.086375,1285.878459
0059,6.154506,0.965870,0.103837,641.890146
0060,7.571908,1.371617,0.082184,589.326743
0061,6.730796,0.620832,0.102260,1116.324248
0062,6.545666,1.180821,0.062818,1342.938658
0063,11.949714,1.133063,0.100779,1398.874440
0064,8.671543,1.239114,0.067010,679.615972
0065,7.465848,1.353651,0.131653,915.377138
0066,7.940484,0.743137,0.066444,1638.120541
0067,9.518716,1.304327,0.071045,1804.990733
0068,11.085132,1.284168,0.130330,1552.315692
0069,10.217426,0.851089,0.124498,528.194303
0070,7.820424,0.693300,0.129990,787.771619
0071,10.166346,1.255725,0.081979,870.927249
0072,13.639320,0.725655,0.122786,1019.975960
0073,12.403116,0.926841,0.115898,1092.720839
0074,10.036357,0.912324,0.116248,748.921392
0075,7.020540,1.081296,0.136541,1044.986294
0076,6.983701,1.072736,0.101068,1513.075533
0077,12.516630,1.007344,0.114896,1488.442101
0078,13.513046,1.016289,0.079769,613.204453
0079,8.074361,0.942528,0.128073,665.080635
0080,10.729998,0.843375,0.096247,1585.764756
