model,target,R2,MAE,MSE,RMSE,MAPE_percent
Ridge,uy_tip,0.391756331964736,0.0027958903556017556,1.3618209426134128e-05,0.0036902858190300284,1904.8485597292938
Ridge,uy_max,0.3917597016889257,0.0027958895046932206,1.3618248252908125e-05,0.0036902910796992863,1903.655583611011
Ridge,sig_max,0.43065624732363317,2723118.6114927162,31407583990988.285,5604246.960206901,257.80454515694646
Ridge,area,0.9392525868193576,0.7670907791810605,1.1011226659287443,1.049343921661885,11.286488398260463
GPR,uy_tip,0.6931772707161319,0.001456785991888315,6.869576131524191e-06,0.0026209876252138603,446.7079525319439
GPR,uy_max,0.6931797086086937,0.0014567910662560935,6.869579192300523e-06,0.002620988209111312,446.59830736413494
GPR,sig_max,0.9519339954555266,948588.1039858848,2651538842299.1978,1628354.6426682358,58.07459477201448
GPR,area,0.9996941276951095,0.053668782932699305,0.00554431720069064,0.0744601719088174,0.9550269819426327
GradientBoosting,uy_tip,-2.1183841938844297,0.0028182952970637024,6.981874412378187e-05,0.008355761133719768,154.85299752629248
GradientBoosting,uy_max,-2.1757103538932068,0.0028380334090861814,7.110283895811545e-05,0.008432249934514243,143.46484412011426
GradientBoosting,sig_max,0.9387049270427491,964394.2746750686,3381314264166.3745,1838835.029078567,38.41413496085575
GradientBoosting,area,0.977740786665836,0.5066435451118969,0.40347601724383614,0.6351976206219889,6.619540733706984
RandomForest,uy_tip,0.2942708190789065,0.001687163038972749,1.5800851351173215e-05,0.00397502847174372,223.49825398152444
RandomForest,uy_max,0.2942824525704383,0.0016871661286469147,1.5800723470666914e-05,0.003975012386228113,223.37464217594717
RandomForest,sig_max,0.8795234748713477,1408172.7926791674,6646031618215.423,2577989.840595851,66.37518867732012
RandomForest,area,0.6927473302127463,1.733235754524996,5.5693380368939565,2.359944498689314,23.91271210993937
