case_id,len,height,thk,force,uy_tip,uy_max,u_sum_max,sig_max,area,volume
0001,7.423307,1.17176,0.113855,867.78809,-3.6986977e-05,3.7007872e-05,3.7258832e-05,253993.51,8.6983342,0.99034884
0002,10.294258,0.371456,0.045308,554.03179,-0.004892992,0.0048930253,0.0048948148,5532308.5,3.8238639,0.17325163
0003,6.685984,0.466122,0.06971,1790.1751,-0.0014276737,0.0014277438,0.0014296842,4813446.8,3.1164842,0.21725012
0004,9.559102,0.33209,0.06618,1000.8613,-0.0067801743,0.0067802154,0.0067825142,7946665.3,3.1744822,0.21008723
0005,11.096564,0.52185,0.114002,1603.5185,-0.0025434236,0.0025434618,0.0025450401,3479899.8,5.7907419,0.66015616
0006,8.156149,1.352752,0.115002,1433.292,-5.2221917e-05,5.2256048e-05,5.2645894e-05,342655.57,11.033247,1.2688455
0007,12.159418,1.363174,0.023267,1211.8628,-0.00069963667,0.00069977867,0.00070221284,2086430.4,16.575402,0.38565989
0008,13.526551,1.023614,0.074411,1685.2221,-0.00098493505,0.0009849968,0.00098657228,1781921.0,13.845967,1.0302922
0009,7.384684,0.863326,0.116229,1730.2199,-0.0001764723,0.00017651294,0.00017717964,903701.61,6.3753897,0.74100517
0010,8.98659,0.599759,0.020582,1104.5715,-0.0033993825,0.0033995284,0.0034037647,8158791.5,5.3897882,0.11093262
0011,8.72321,0.559916,0.061938,1560.702,-0.0017939959,0.0017940645,0.0017961334,4266339.7,4.8842649,0.3025216
0012,12.19517,0.28775,0.104152,1567.1152,-0.021463027,0.021463052,0.021466405,13391337.0,3.5091602,0.36548605
0013,6.11299,0.827087,0.021692,1238.0204,-0.00043779211,0.000437948,0.00044014968,3132315.1,5.0559746,0.1096742
0014,8.298717,1.006073,0.082725,696.49143,-8.9557427e-05,8.958039e-05,8.9943731e-05,423091.32,8.3491151,0.69068055
0015,7.799237,1.314663,0.069118,534.63051,-3.0885341e-05,3.0906445e-05,3.1144308e-05,215209.41,10.253368,0.70869231
0016,10.098085,0.399287,0.036689,1345.9494,-0.011156618,0.011156718,0.011161616,14094266.0,4.0320341,0.1479313
0017,9.216941,0.298924,0.109974,1716.9199,-0.0086030879,0.0086031304,0.008605673,9761754.8,2.7551649,0.3029965
0018,10.44166,1.279498,0.104916,587.54097,-5.7685113e-05,5.7700339e-05,5.7939337e-05,218818.24,13.360083,1.4016865
0019,13.768566,1.033746,0.051365,924.88773,-0.00080165034,0.0008016993,0.0008029617,1413173.8,14.2332,0.73108832
0020,11.963839,0.831278,0.049533,1688.24,-0.0019138355,0.0019139284,0.0019165122,3593408.2,9.9452762,0.49261936
