case_id,len,height,thk,force
0001,7.423307,1.171760,0.113855,867.788091
0002,10.294258,0.371456,0.045308,554.031792
0003,6.685984,0.466122,0.069710,1790.175064
0004,9.559102,0.332090,0.066180,1000.861265
0005,11.096564,0.521850,0.114002,1603.518547
0006,8.156149,1.352752,0.115002,1433.291955
0007,12.159418,1.363174,0.023267,1211.862800
0008,13.526551,1.023614,0.074411,1685.222101
0009,7.384684,0.863326,0.116229,1730.219897
0010,8.986590,0.599759,0.020582,1104.571496
0011,8.723210,0.559916,0.061938,1560.702035
0012,12.195170,0.287750,0.104152,1567.115207
0013,6.112990,0.827087,0.021692,1238.020403
0014,8.298717,1.006073,0.082725,696.491430
0015,7.799237,1.314663,0.069118,534.630513
0016,10.098085,0.399287,0.036689,1345.949400
0017,9.216941,0.298924,0.109974,1716.919929
0018,10.441660,1.279498,0.104916,587.540967
0019,13.768566,1.033746,0.051365,924.887734
0020,11.963839,0.831278,0.049533,1688.240012
0021,13.013105,1.181056,0.076853,531.721976
0022,7.707677,0.859762,0.099460,732.117427
0023,9.104253,0.754329,0.083813,1270.466484
0024,8.660512,0.977131,0.052600,1641.541211
0025,9.028796,1.203450,0.024243,797.116487
0026,13.607966,0.553394,0.126881,733.386068
0027,13.405955,0.272138,0.042769,665.754861
0028,8.362106,0.239955,0.061081,1046.163977
0029,6.063840,0.265076,0.127574,1442.995276
0030,10.773846,0.250138,0.096140,878.910872
0031,12.922801,0.656482,0.086378,1535.578477
0032,12.451354,0.702401,0.073827,1502.612897
0033,8.603501,0.506434,0.110365,1501.977816
0034,8.004774,0.348876,0.062287,1366.346996
0035,6.202806,0.815745,0.099989,1664.394445
0036,9.060347,1.057584,0.031742,608.895125
0037,12.210676,0.382784,0.108957,562.647145
0038,11.678649,0.582964,0.048435,1312.623328
0039,9.948643,1.122151,0.047413,1489.143180
0040,8.592033,0.481378,0.110683,883.534631
0041,9.835193,0.405610,0.025244,755.516948
0042,10.995542,1.295439,0.128787,1053.200844
0043,9.337978,1.019134,0.022142,1584.146314
0044,13.571249,0.866967,0.071460,1338.128083
0045,7.218199,1.089360,0.068513,957.259097
0046,12.013333,0.440768,0.087780,1256.300516
0047,7.968604,0.428757,0.107478,1495.610464
0048,12.740389,0.756389,0.030481,1525.142824
0049,11.393021,0.229167,0.119072,1573.519706
0050,8.506824,0.687833,0.112273,1388.450776
0051,6.723546,0.572694,0.036410,1023.724407
0052,6.253883,1.373562,0.094732,1482.780701
0053,7.960486,0.577107,0.028046,713.997706
0054,11.002471,1.175973,0.080840,1451.386459
0055,10.732928,0.308427,0.058708,1676.646508
0056,12.308141,0.893424,0.046521,1329.565797
0057,8.255361,0.618268,0.072149,1750.308753
0058,12.258878,1.258348,0.039743,1644.349153
0059,11.440454,1.144823,0.102786,570.217362
0060,6.007908,0.464530,0.027774,1040.077377
0061,9.520879,0.630272,0.129565,1168.727921
0062,13.690848,1.073983,0.049286,703.496691
0063,8.891729,0.243447,0.122295,1343.457033
0064,8.858556,0.845689,0.115777,1770.091657
0065,9.930290,0.414471,0.038267,616.430025
0066,11.809284,0.218462,0.131640,950.302186
0067,12.965920,0.777318,0.079986,583.817975
0068,9.316346,1.133525,0.095349,1377.334201
0069,11.309806,1.289165,0.117574,1132.779825
0070,9.289946,0.614203,0.097125,835.178402
0071,8.756060,1.216422,0.130813,870.181306
0072,7.688204,1.387021,0.093842,1541.867504
0073,13.877386,1.061851,0.034837,1136.661252
0074,8.410904,0.416262,0.139589,1776.818014
0075,10.386533,1.300287,0.103131,1173.586064
0076,10.206033,0.471871,0.027042,1655.066045
0077,7.879129,0.262086,0.126296,753.851376
0078,11.422180,0.725537,0.052444,1163.118714
0079,11.719421,0.351358,0.138606,1293.803674
0080,13.079718,0.277580,0.065799,1738.255282
0081,11.339297,0.921095,0.121675,719.396513
0082,8.181139,0.746540,0.064034,669.896578
0083,9.393028,0.498521,0.032615,1111.944319
0084,9.899999,0.604936,0.034243,1522.248384
0085,10.490222,1.325340,0.094194,692.005679
0086,6.162824,0.986559,0.067845,828.693935
0087,7.455640,0.682474,0.040385,514.977339
0088,9.755090,0.743005,0.102097,1078.532479
0089,13.648308,1.158723,0.120360,1060.032296
0090,10.324122,1.226973,0.084796,921.488929
0091,13.277345,0.541986,0.098222,518.826237
0092,7.118404,0.517882,0.071925,814.204693
0093,11.042050,0.547967,0.067399,592.895410
0094,7.607743,0.536241,0.031083,760.313445
0095,10.000914,0.926961,0.075697,679.044974
0096,13.494705,0.643670,0.135133,1634.662454
0097,10.250984,1.076034,0.039249,1578.316076
0098,13.935794,0.945880,0.070501,1125.394869
0099,8.545567,0.513368,0.109119,1709.995760
0100,11.779914,1.356083,0.124871,1651.243332
0101,6.397776,1.004258,0.116751,1673.694168
0102,7.082083,0.967395,0.137013,1177.439151
0103,10.861241,1.014357,0.134195,1546.241258
0104,13.323121,1.384438,0.073006,652.046657
0105,9.096814,0.768474,0.051607,945.399237
0106,13.383601,0.638833,0.084105,573.159710
0107,8.094165,1.399221,0.050737,783.233616
0108,7.015650,0.706150,0.136086,1064.667110
