model,target,R2,MAE,MSE,RMSE,MAPE_percent
Ridge,uy_tip,0.1976906083514801,0.005753563009537193,0.00022130696655293683,0.014876389567127396,1317.3285207055692
Ridge,uy_max,0.1976913571211043,0.005753563001720582,0.00022130684706555808,0.014876385551119534,1316.5537618846893
Ridge,sig_max,0.3032980058432375,3494857.387875875,75336945971978.72,8679685.822193032,170.46621553656465
Ridge,area,0.9641165035502307,0.49542651480283356,0.4611930734560293,0.6791119741662852,8.929023375702638
GPR,uy_tip,0.9137389418335268,0.0011286316537950406,2.379402922760719e-05,0.004877912384166734,28.286915888638948
GPR,uy_max,0.9137386983215695,0.0011286339429561934,2.379410575676169e-05,0.004877920228618104,28.27804974015895
GPR,sig_max,0.9140290600162416,722986.2841080626,9296353555806.4,3048992.2197025036,10.256809143285246
GPR,area,0.9999895459604113,0.0057658524393631215,0.00013436067064097606,0.011591405033082747,0.08421170133015721
GradientBoosting,uy_tip,0.5112869861324454,0.0027571512871106753,0.000134805345344073,0.011610570414242058,63.87163530020808
GradientBoosting,uy_max,0.5447659349342645,0.002639447578942609,0.00012557064729482438,0.011205830950662445,63.36170559723276
GradientBoosting,sig_max,0.6755879444134617,1695210.549563204,35079867302464.45,5922825.955780269,23.82514087493275
GradientBoosting,area,0.972743126660036,0.46499124441169465,0.3503192952798364,0.5918777705572633,6.095213102507226
RandomForest,uy_tip,0.6272878710533853,0.0026265304800812106,0.00010280795851732628,0.010139425946143414,61.078075044248116
RandomForest,uy_max,0.627287536027194,0.00262653555549646,0.00010280809136977924,0.010139432497422093,61.060597201148845
RandomForest,sig_max,0.5852215240468162,1928382.850010832,44851520298926.62,6697127.764865071,29.198495312890515
RandomForest,area,0.8736280809509859,0.8984532929750028,1.624196622710272,1.2744397289437708,11.422892702117215
