case_id,len,height,thk,force
0001,10.893266,1.083585,0.096783,997.019
0002,9.301551,1.183510,0.099984,1344.653
0003,10.309332,1.039167,0.100541,501.689
0004,11.400114,0.826775,0.114929,1375.889
0005,10.919067,0.902079,0.109536,1969.795
0006,10.021831,0.897181,0.098899,924.740
0007,8.918267,1.110535,0.090826,1350.546
0008,11.084910,0.810320,0.102039,750.834
0009,8.448219,0.844479,0.117826,1935.534
0010,11.736164,1.181174,0.097837,620.725
0011,11.205859,1.146307,0.081738,1823.682
0012,11.499072,0.816385,0.099542,1566.207
0013,9.900811,1.048626,0.118251,932.915
0014,11.866211,1.052916,0.083626,1737.973
0015,8.026003,1.072688,0.109939,1660.147
0016,8.773529,1.108285,0.111891,513.659
0017,8.328806,0.821761,0.097625,1281.568
0018,8.205352,0.841856,0.115317,1581.604
0019,11.587446,1.015047,0.099376,1277.691
0020,10.668458,1.078052,0.092091,680.922
0021,9.222022,0.962247,0.089988,1846.694
0022,10.952239,0.886368,0.105849,1211.862
0023,8.596211,0.949686,0.095676,969.046
0024,9.207586,0.843283,0.107635,1801.759
0025,8.728233,1.099448,0.084110,678.135
0026,10.645783,1.152396,0.119613,1572.871
0027,11.978364,0.912192,0.095152,1613.847
0028,9.760660,0.989013,0.107251,598.626
0029,8.377482,0.891604,0.092474,1015.332
0030,9.132187,1.128576,0.119381,1253.858
0031,8.437681,1.199128,0.082218,1140.913
0032,9.097256,1.001873,0.084408,1161.322
0033,8.099910,1.031511,0.091465,1292.959
0034,11.304390,0.898621,0.087726,1337.805
0035,10.111034,1.166140,0.116185,643.591
0036,9.256611,0.804936,0.108092,651.354
0037,11.161688,1.132429,0.088493,691.428
0038,10.405853,0.945793,0.091913,841.425
0039,9.973630,0.942382,0.088946,1023.693
0040,9.995130,0.964354,0.101294,537.417
0041,8.600285,1.142530,0.110580,1562.128
0042,10.535358,1.126557,0.104737,1036.521
0043,10.336536,1.197223,0.114464,1602.424
0044,10.458958,0.922761,0.106451,1124.129
0045,8.750390,0.926495,0.098279,1683.850
0046,10.762714,1.151504,0.087085,1828.513
0047,8.643588,0.885923,0.088168,1318.056
0048,8.055941,1.190951,0.093524,1730.578
0049,9.057080,0.875902,0.105166,1997.590
0050,11.362497,0.894497,0.091632,1204.774
0051,11.757425,0.997471,0.089438,1263.527
0052,10.477688,1.164665,0.085601,1407.493
0053,9.534426,1.114070,0.101546,761.724
0054,8.250155,0.855038,0.102493,910.751
0055,10.045638,0.892093,0.119026,889.701
0056,10.749785,0.848744,0.096143,1948.546
0057,8.872705,0.935666,0.112543,581.354
0058,8.065097,0.909594,0.090122,819.711
0059,8.714855,0.901316,0.091332,1178.871
0060,8.469355,1.116549,0.093381,1645.103
0061,8.634517,1.176331,0.099660,783.545
0062,11.227565,0.815028,0.082102,1807.427
0063,9.322614,1.155238,0.103884,871.538
0064,9.956580,1.130542,0.085553,551.879
0065,10.377207,1.135144,0.118577,1751.919
0066,11.511422,1.003931,0.090759,1225.707
0067,9.435149,1.162347,0.086240,1080.406
0068,9.884156,0.995522,0.113035,728.848
0069,11.624990,0.858274,0.105541,1073.148
0070,11.329316,1.027356,0.117150,709.319
0071,10.276378,1.121515,0.105275,735.223
0072,10.497331,0.852688,0.108954,1786.022
0073,9.744932,0.889630,0.107488,825.586
0074,11.134048,1.194663,0.080461,1790.313
0075,10.920649,1.139190,0.097144,1489.715
0076,10.878476,0.992930,0.087450,1303.136
0077,8.232794,1.161636,0.117356,1389.986
0078,8.187391,1.061274,0.111188,1670.882
0079,9.368696,1.045778,0.104899,1551.222
0080,11.531009,1.095332,0.113973,1956.094
0081,8.312101,0.990631,0.080924,1417.002
0082,11.707072,0.973991,0.103712,594.486
0083,8.398899,0.851316,0.089176,1458.279
0084,11.150321,0.828759,0.085086,723.614
0085,8.359357,0.839808,0.101910,1589.864
0086,10.735005,0.940741,0.109667,1130.244
0087,10.006589,1.189205,0.094955,1298.068
0088,10.799234,0.952890,0.083280,1463.339
0089,10.561134,1.032762,0.115937,1106.190
0090,9.675008,0.932163,0.096218,1532.299
0091,10.848126,0.813030,0.100315,792.880
0092,11.826622,0.958775,0.112340,1925.254
0093,9.924731,0.968135,0.103407,1837.025
0094,10.211865,1.064612,0.115563,1423.050
0095,10.682739,0.981054,0.103369,1172.524
0096,9.346128,1.020444,0.093026,1114.909
0097,11.933915,1.101511,0.101786,1705.553
0098,8.152585,1.074283,0.117628,1537.125
0099,9.413484,0.918429,0.086159,1653.402
0100,8.804258,0.998332,0.104086,1710.406
0101,11.989176,0.803747,0.118056,1912.134
0102,10.251069,0.866543,0.104475,1331.590
0103,11.421464,0.929505,0.111510,812.445
0104,11.240529,1.172622,0.102350,1411.861
0105,9.031488,1.025614,0.082996,554.356
0106,10.393553,1.112259,0.100934,1635.856
0107,10.809487,0.966381,0.081293,1920.986
0108,10.120309,1.008670,0.114363,1818.521
0109,11.543319,0.924754,0.117491,1868.521
0110,8.104306,0.955689,0.094744,1716.536
0111,8.960780,1.184813,0.116888,1091.230
0112,11.678432,1.067544,0.107124,1041.382
0113,8.938313,0.974788,0.109023,800.843
0114,11.274616,1.011538,0.115681,917.291
0115,10.581249,1.091772,0.083914,1864.327
0116,9.264301,0.831276,0.092666,954.929
0117,9.805317,1.068643,0.105763,1478.574
0118,9.797210,1.137770,0.094013,613.631
0119,10.607532,1.192258,0.115118,982.248
0120,11.807130,1.178433,0.098646,1728.949
0121,8.699608,0.882958,0.116370,1689.561
0122,11.381332,1.087787,0.116438,1518.258
0123,8.846133,0.818007,0.107837,988.499
0124,8.519343,1.149159,0.089206,1357.853
0125,10.223957,1.076276,0.093675,1876.153
0126,9.619859,1.051656,0.086590,586.559
0127,9.016232,0.832479,0.119588,1543.738
0128,9.281631,1.035426,0.090468,1780.700
0129,9.177345,1.071313,0.080201,845.152
0130,11.602141,0.957443,0.096895,975.931
0131,11.770157,1.119258,0.098057,1441.053
0132,11.467844,1.089201,0.083135,1190.849
0133,9.193016,0.939455,0.087841,876.434
0134,11.914247,0.861257,0.102728,609.425
0135,9.117652,1.102369,0.088612,1212.998
0136,11.058560,1.037159,0.101013,1233.873
