case_id,len,height,thk,force,f0,uy_amp,area
0001,10.893266,1.083585,0.096783,997.019,9.0,0.0004671265753,11.80377964
0002,9.301551,1.18351,0.099984,1344.653,9.0,0.0003288639289,11.00847862
0003,10.309332,1.039167,0.100541,501.689,9.0,0.0003831051408,10.71311761
0004,11.400114,0.826775,0.114929,1375.889,9.0,0.0002897146032,9.425329252
0005,10.919067,0.902079,0.109536,1969.795,9.0,0.0005479873724,9.84986104
0006,10.021831,0.897181,0.098899,924.74,9.0,0.0005071442267,8.991396358
0007,8.918267,1.110535,0.090826,1350.546,9.0,0.0003630919396,9.904047643
0008,11.08491,0.81032,0.102039,750.834,9.0,0.000195950344,8.982324271
0009,8.448219,0.844479,0.117826,1935.534,9.0,0.001761155175,7.134343533
0010,11.736164,1.181174,0.097837,620.725,9.0,0.0001893969966,13.86245178
0011,11.205859,1.146307,0.081738,1823.682,9.0,0.0009258998026,12.84535461
0012,11.499072,0.816385,0.099542,1566.207,9.0,0.0003685763863,9.387669895
0013,9.900811,1.048626,0.118251,932.915,9.0,0.001883700504,10.38224784
0014,11.866211,1.052916,0.083626,1737.973,9.0,0.000486343194,12.49412342
0015,8.026003,1.072688,0.109939,1660.147,9.0,0.0002080172147,8.609397106
0016,8.773529,1.108285,0.111891,513.659,9.0,9.877262727e-05,9.723570588
0017,8.328806,0.821761,0.097625,1281.568,9.0,0.001445158667,6.844287947
0018,8.205352,0.841856,0.115317,1581.604,9.0,0.0009216597463,6.907724813
0019,11.587446,1.015047,0.099376,1277.691,9.0,0.0003268602986,11.7618023
0020,10.668458,1.078052,0.092091,680.922,9.0,0.0004208029041,11.50115248
0021,9.222022,0.962247,0.089988,1846.694,9.0,0.00325975978,8.873863003
0022,10.952239,0.886368,0.105849,1211.862,9.0,0.0003380646009,9.707714178
0023,8.596211,0.949686,0.095676,969.046,9.0,0.0004769167278,8.16370124
0024,9.207586,0.843283,0.107635,1801.759,9.0,0.002095626697,7.764600745
0025,8.728233,1.099448,0.08411,678.135,9.0,0.0001738844667,9.596238315
0026,10.645783,1.152396,0.119613,1572.871,9.0,0.0012870145,12.26815775
0027,11.978364,0.912192,0.095152,1613.847,9.0,0.000353373129,10.92656781
0028,9.76066,0.989013,0.107251,598.626,9.0,0.0009328290077,9.653419629
0029,8.377482,0.891604,0.092474,1015.332,9.0,0.0006095151265,7.469396461
0030,9.132187,1.128576,0.119381,1253.858,9.0,0.0002899472033,10.30636708
0031,8.437681,1.199128,0.082218,1140.913,9.0,0.0001570454752,10.11785954
0032,9.097256,1.001873,0.084408,1161.322,9.0,0.000928045649,9.11429516
0033,8.09991,1.031511,0.091465,1292.959,9.0,0.0002461607904,8.355146264
0034,11.30439,0.898621,0.087726,1337.805,9.0,0.0003945859146,10.15836225
0035,10.111034,1.16614,0.116185,643.591,9.0,0.0005965877288,11.79088119
0036,9.256611,0.804936,0.108092,651.354,9.0,0.0005102858228,7.450979432
0037,11.161688,1.132429,0.088493,691.428,9.0,0.0003230586086,12.63981918
0038,10.405853,0.945793,0.091913,841.425,9.0,0.0004139565993,9.841782926
0039,9.97363,0.942382,0.088946,1023.693,9.0,0.0008079776827,9.398969387
0040,9.99513,0.964354,0.101294,537.417,9.0,0.0004120201616,9.638843596
0041,8.600285,1.14253,0.11058,1562.128,9.0,0.0002244876908,9.826083621
