a,b,lx,ly,smax,area
     10.0000,     20.0000,    100.0000,    100.0000,  0.20832517E+03,  0.98429204E+04
     10.0000,     15.0000,    100.0000,    100.0000,  0.23982789E+03,  0.98821903E+04
     12.0000,     20.0000,    100.0000,    100.0000,  0.23161201E+03,  0.98115044E+04
     15.0000,     20.0000,    100.0000,    100.0000,  0.26778821E+03,  0.97643806E+04
     10.0000,     25.0000,    100.0000,    100.0000,  0.18967559E+03,  0.98036505E+04
     10.0000,     20.0000,    120.0000,    100.0000,  0.20708186E+03,  0.11842920E+05
     12.0000,     20.0000,    120.0000,    100.0000,  0.22997362E+03,  0.11811504E+05
     10.0000,     25.0000,    120.0000,    100.0000,  0.18816292E+03,  0.11803650E+05
     15.0000,     25.0000,    120.0000,    100.0000,  0.23696002E+03,  0.11705476E+05
     10.0000,     20.0000,    100.0000,    120.0000,  0.20604396E+03,  0.11842920E+05
     10.0000,     15.0000,    100.0000,    120.0000,  0.23749731E+03,  0.11882190E+05
     12.0000,     20.0000,    100.0000,    120.0000,  0.22834159E+03,  0.11811504E+05
     15.0000,     20.0000,    100.0000,    120.0000,  0.26252053E+03,  0.11764381E+05
     10.0000,     25.0000,    100.0000,    120.0000,  0.18720490E+03,  0.11803650E+05
     10.0000,     20.0000,    120.0000,    120.0000,  0.20520082E+03,  0.14242920E+05
     12.0000,     20.0000,    120.0000,    120.0000,  0.22719744E+03,  0.14211504E+05
     15.0000,     20.0000,    120.0000,    120.0000,  0.26094282E+03,  0.14164381E+05
     10.0000,     25.0000,    120.0000,    120.0000,  0.18627712E+03,  0.14203650E+05
     15.0000,     25.0000,    120.0000,    120.0000,  0.23281754E+03,  0.14105476E+05
